Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,DCS,DCS Polarity,Tx Power,Skip,Step,Attenuator,Clock Shift,Half Dev,Bank_1,Bank_2,Bank_3,Bank_4,Bank_5,Bank_6,Bank_7,Bank_8,Bank_9,Bank_10,Bank_11,Bank_12,Bank_13,Bank_14,Bank_15,Bank_16,Bank_17,Bank_18,Bank_19,Bank_20,Bank_21,Bank_22,Bank_23,Bank_24,Comment,User CTCSS,S-Meter Squelch,Bell,AMS, ,RX DGID,TX DGID
58,145.3375,145.3375, ,Simplex,FM,Novara,,100.0 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,58,0,0
59,430.5,435.5,5.00 MHz,Plus,FM,TO Giaveno EL,Tone,82.5 Hz,23,RN-TN,High (5 W),Off,25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,59,0,0
60,430.3125,431.9125,1.60 MHz,Plus,FM,Magenta,Tone,71.9 Hz,23,RN-TN,High (5 W),Off,12.5 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,60,0,0
61,446.00625,446.00625, ,Simplex,FM,PMR1,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,61,0,0
62,446.01875,446.01875, ,Simplex,FM,PMR2,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,62,0,0
63,446.03125,446.03125, ,Simplex,FM,PMR3,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,63,0,0
64,446.04375,446.04375, ,Simplex,FM,PMR4,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,64,0,0
65,446.05625,446.05625, ,Simplex,FM,PMR5,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,65,0,0
66,446.06875,446.06875, ,Simplex,FM,PMR6,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,66,0,0
67,446.08125,446.08125, ,Simplex,FM,PMR7,,100.0 Hz,23,RN-TN,High (5 W),Off,6.25 kHz,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,300 Hz,Off,Off,On,67,0,0
